"Coluna A","Coluna B","Coluna C"
735,787,803
648,325,188
724,927,164
615,951,583
771,230,169
410,418,830
729,423,701
568,374,910
417,117,874
336,452,527
265,286,860
342,169,948
971,633,822
883,775,675
287,897,989
935,148,614
966,927,364
324,761,778
243,708,610
256,190,523
112,374,909
347,730,483
445,648,872
396,109,294
479,976,722
578,132,144
767,215,120
483,557,409
491,677,224
150,283,802
629,629,831
632,723,440
742,276,599
997,526,380
635,490,279
593,557,471
787,360,315
239,558,790
890,507,384
365,255,553
525,882,907
608,259,905
543,989,550
927,353,166
398,987,628
188,514,890
934,672,156
191,659,681
490,287,703
507,234,439
807,773,838
626,693,836
535,310,901
869,462,416
633,763,191
232,736,426
965,684,143
148,437,263
725,598,962
373,135,152
243,576,715
609,665,876
536,175,936
151,132,376
222,441,107
549,996,454
888,226,375
991,984,176
979,535,188
210,591,707
206,813,328
768,478,712
607,385,421
292,780,268
390,925,267
666,588,640
131,202,122
144,504,846
515,254,564
772,598,565
751,244,471
265,652,650
936,656,638
683,420,247
543,846,157
511,969,533
525,789,689
337,508,750
820,606,842
160,497,644
247,841,689
685,732,666
209,451,324
322,877,957
322,936,237
533,748,680
199,134,937
730,988,224
982,510,483
226,629,374
